job_title,job_links,cities,company,company_rating
Data Scientist,https://www.indeed.com/rc/clk?jk=b0fea7a51c0d01ce&fccid=b4048be2884af072&vjs=3,"New York, NY 10286 (Tribeca area)",BNY Mellon,5.0
"Quantitative Researcher, Electronic Trading",https://www.indeed.com/rc/clk?jk=6c74eb17877f6ff9&fccid=9db25778e3ea9b73&vjs=3,"New York, NY",ARP Investments,5.0
Software Engineer (Python),https://www.indeed.com/rc/clk?jk=f67e90aae8781d87&fccid=d5b4e29f8024eca4&vjs=3,"New York, NY 10010 (Gramercy area)",OpenSlate,5.0
Quantitative Researcher,https://www.indeed.com/rc/clk?jk=e2c13dac12042e37&fccid=e99e0f54c1059cab&vjs=3,"New York, NY",SEVEN EIGHT CAPITAL,5.0
Research Strategist,https://www.indeed.com/rc/clk?jk=2eb2eec9449dab03&fccid=7c43bf142222e360&vjs=3,New York State,A/B Partners,5.0
Counterintelligence Analyst,https://www.indeed.com/rc/clk?jk=010e43e966f7a4c0&fccid=31bebfb78bc1f0f1&vjs=3,"Corning, NY 14831",Corning,5.0
Presales Data Architect (North East),https://www.indeed.com/rc/clk?jk=d1d7c9a1312fc3ef&fccid=8ba5759a04b37d93&vjs=3,"New York, NY",DataStax,5.0
Trading Execution Services Specialist,https://www.indeed.com/rc/clk?jk=5e6baf022a96842d&fccid=d2c6abf8a785fc40&vjs=3,"New York, NY 10003 (Flatiron District area)",Coinbase,5.0
"(Sr.) Associate, Business Intelligence - Data Analysis",https://www.indeed.com/rc/clk?jk=6f0df5ac7fcd804d&fccid=f929b4134de87dd4&vjs=3,"New York, NY",Paxful,5.0
Data Scientist,https://www.indeed.com/rc/clk?jk=1636faa0308fd08f&fccid=1577085fc2290983&vjs=3,"New York, NY",Source Enterprises,5.0
Quantitative Researcher: Fixed Income Credit,https://www.indeed.com/rc/clk?jk=c59d59fb071bbb57&fccid=facc18fe475dac15&vjs=3,"New York, NY","Two Sigma Investments, LLC.",5.0
Health Center Data Analyst,https://www.indeed.com/rc/clk?jk=bf4bf05d45cce9f0&fccid=45056d760b7d9d86&vjs=3,"New York, NY 10007 (Tribeca area)",Relevant Healthcare Technologies,5.0
Junior Data Scientist,https://www.indeed.com/rc/clk?jk=148f2e5e7a652368&fccid=2721c1c2ba33c638&vjs=3,"New York, NY",Decode_M,5.0
"Software Engineer, Junior",https://www.indeed.com/rc/clk?jk=b57c0863e801533f&fccid=4e041af1d0af1bc8&vjs=3,"New York, NY 10036 (Garment District area)",Booz Allen Hamilton,5.0
Quant Trader,https://www.indeed.com/rc/clk?jk=6381db8bb661e506&fccid=01b91641951e8886&vjs=3,"New York, NY 10005 (Financial District area)",Hudson River Trading,5.0
